bird_diversity,patch_size,rainfall
135.3556113,8.681629949,1483.189401
132.8000818,10.48107641,1317.655748
139.714565,13.91936913,1160.776908
108.9826223,7.149763307,929.5902157
132.8465981,12.85315208,699.9306326
113.6881393,10.81502357,840.8938223
142.3834588,12.95719388,1401.195678
116.0461231,7.180682949,917.1377196
128.5346897,8.851088254,1683.869222
118.039393,7.389012919,714.9193608
112.1103624,8.022374344,766.910668
111.0195978,10.66019494,582.3718371
127.1538543,12.62815256,663.3535982
121.8443731,11.40457774,454.9714785
124.5130563,12.42086397,822.3703519
125.444703,11.35292124,875.8871045
127.9014565,15.07529208,737.403529
105.681383,2.493349929,1208.396735
134.0563598,13.44027385,1088.326675
111.3794346,7.29442111,727.8717589
106.1649216,9.113186589,330.6264038
118.1723733,7.902278297,963.1824457
120.9101494,8.700969875,1127.028558
117.1958055,8.824004127,878.5220692
122.1217879,8.070041169,932.783497
135.8569372,11.76516448,1161.955499
119.3784018,10.2477958,953.4144328
140.8227501,13.84225111,1073.849464
120.2339327,9.839483589,1002.334188
159.2491766,14.29913346,1618.843075
140.3278626,17.75632026,875.2134966
118.0138386,9.315552091,887.4693519
120.2411974,6.89809856,1303.582817
129.5692706,12.59929003,816.3030014
122.2938945,11.28417126,924.3283772
127.3068628,10.42594163,777.7744495
130.8123481,8.963994732,1193.610464
130.7745737,10.71055871,853.2310961
107.3336053,2.66311684,1087.836171
126.9018055,7.930843216,1286.865064
126.4012193,9.346483169,863.3487171
119.1099192,9.131673338,643.7523542
126.265738,10.10250991,1366.548725
124.6107133,8.965843909,1522.284472
115.5305431,12.84936069,199.2427344
124.3983535,6.131413506,790.7080776
146.5989955,13.71511491,1191.665978
120.7881142,11.42667113,651.2664045
130.0272263,9.150570476,1367.750755
115.7926018,8.376169423,980.5025098
119.0968171,6.981652287,865.4334695
121.3350462,10.91611934,988.5087636
121.5436092,12.03617645,884.372093
133.2090916,13.98898546,1061.55218
114.5706272,4.783147973,1172.862739
116.3563226,6.611699033,1150.950013
121.6953221,9.231607913,926.835948
116.3857627,7.146505501,977.0770474
111.0113052,11.19167969,583.3356165
125.934953,11.79626784,1121.880554
134.777273,8.946857744,1555.03977
132.1386896,12.93121047,1176.226561
143.5977536,13.40955805,1080.416249
128.6047199,10.40117255,696.5453573
119.0073737,11.96533585,750.0329653
121.3461418,7.798011897,1108.169723
133.1398375,7.290070248,1691.108027
101.6931384,1.962641578,742.0566492
148.3059611,13.04268448,1779.567678
121.9021566,7.473357641,1525.602274
115.6638815,11.54897782,845.7482745
123.4688851,8.6852575,991.2990098
120.1862207,5.824895137,1512.3889
109.8221951,2.929641666,1220.792463
114.3108771,10.31441506,275.9817202
125.1894056,7.917885321,1210.584294
113.9145692,4.385043768,1186.490534
123.5892783,9.215102634,936.3090722
123.5723633,9.476947954,1317.274829
113.7209836,6.308256463,876.9980194
123.5823794,9.662521642,942.3983239
129.234329,13.12585242,1085.818724
138.6697083,9.665322441,1449.005529
122.6694559,9.558598556,1222.270827
136.8709958,8.025139168,1402.241303
117.7421524,6.334748625,960.0932775
138.5753817,11.77836477,1699.964941
115.4960632,8.836736743,1105.396865
116.9680543,6.600866742,1010.917181
130.9427682,12.45673395,1224.999711
116.3684724,9.89491886,1127.21709
116.6305366,5.467855784,1043.136889
125.0040894,14.38824043,934.6668873
153.2760096,15.33512142,1230.637154
129.794203,8.879554321,939.2340036
139.2264086,9.965043221,1695.732797
121.1208964,12.3508316,386.8215986
121.3664107,11.79811168,633.6908347
111.3642966,7.132822532,498.2041252
114.192308,6.715697118,819.3330877
125.0140775,9.127910802,1496.799801
114.1943748,9.005084278,884.4495761
133.169525,9.922257477,1136.163927
132.3390182,7.864954846,1319.963212
126.2889558,12.28416755,738.7041185
110.6370931,7.896415254,776.1789841
115.2385063,5.125040324,866.5703175
123.2584398,7.734150173,1111.908685
118.9407731,13.33440093,392.5012914
121.6102352,14.34850784,755.1540701
123.8952466,11.25724262,692.473434
115.9567424,8.20650094,743.9757136
152.2490634,13.57661433,1397.101985
115.6014508,3.961540973,1276.673091
140.739884,9.287952066,2054.906865
125.8011366,9.07377479,881.1604918
130.3053635,13.24390366,767.9991829
133.7136432,12.2829625,1457.094225
130.6901452,9.931399647,1219.353054
105.3706147,6.576058222,245.6572493
118.6930889,6.873230021,1097.981645
111.1550775,10.35212828,921.5985859
117.229634,5.144211469,1333.581373
118.9127635,9.262617803,662.392046
112.8538868,5.975324576,744.0118729
125.1766736,15.96613532,735.0035217
126.9379721,11.01121089,904.4072854
124.9828724,7.836332411,1092.496229
120.7195268,5.877373547,1134.355726
115.941723,7.142702272,856.4598022
111.8978143,4.706203139,924.0457515
151.0440773,14.10205283,1412.506328
123.6072317,6.276863042,1286.979823
115.4285726,6.26106555,1196.868839
129.2868668,8.590890739,1535.765556
107.9881431,5.785091625,843.1298161
146.3800047,11.83067081,1457.731865
140.2720735,12.18225716,1331.483813
113.7832761,8.233423843,478.3062682
128.488883,10.67880079,1232.022393
118.7311347,11.36634979,949.2045235
124.5048765,12.40256233,1068.206285
118.9075877,11.10062934,769.7577789
111.9337025,5.764856456,976.6522194
129.7492862,12.35030853,1070.631586
127.2832557,9.281978757,1115.780505
113.1735312,9.886203933,845.2134885
122.2639187,8.771006158,1407.959112
124.4338416,9.657398199,1080.983594
136.2719207,13.72879257,996.0080268
