bird_diversity,temperature,rainfall
60.23520467,10.3497543,330
66.55102261,8.513990404,256.3676677
73.20361638,7.105327552,262.0635662
66.44211768,14.23159394,430.8640883
68.54403273,9.87082655,455.2904815
63.73522008,11.40459276,549.6314917
62.056302,7.074346931,580.9088091
59.74486498,13.47968979,581.5987667
75.54605057,6.918748429,583.7835985
74.17647554,9.184255322,589.6401767
76.30751434,8.738251017,607.6216378
65.87887797,11.34687185,607.8239267
76.62297299,10.37447951,612.1562726
67.23753305,9.881413464,616.4096055
73.80001383,7.031045468,617.4334003
67.16600132,12.23549349,629.8307705
68.74185768,6.254462848,666.5758039
64.68698042,13.32441474,670.6483999
70.46584185,13.03310907,670.7535055
76.47844715,9.397582796,683.5952839
86.40213752,5.007877832,697.0216778
67.12413476,11.27827712,697.7586596
60.74985495,12.17680456,700.074541
62.37832673,10.34153088,702.67449
66.91204835,13.52932523,704.1707115
77.19226489,5.214543032,738.6684416
72.43286955,10.64719952,757.2831265
64.25335164,11.1222438,766.4153527
71.60358379,4.192360007,774.3693648
70.8509356,8.950081577,784.5583446
66.62629125,15.33706911,785.5104274
62.75082373,13.66391709,787.4806646
77.68454686,9.834401473,788.5762048
67.14386762,11.4503676,797.7874523
79.68772538,5.460590422,804.2749551
70.78096618,13.16064018,804.696094
69.20110309,11.12589335,819.0152771
66.40923705,9.301358595,820.0016465
75.48120675,6.302132311,821.4011764
62.34057162,9.635487239,828.6149945
71.00521484,17.88957349,831.1712008
79.27107348,10.9937871,836.6978438
61.18919682,11.10628207,843.7817876
67.15210521,10.95474543,846.2378021
76.06994392,7.901293131,857.7462749
70.98489001,13.66412313,859.7361931
68.2581156,10.41010841,863.4854511
64.25477288,9.320530944,866.405201
68.18406626,14.86258772,872.5767975
69.98014668,11.29196577,880.0570192
70.90918877,6.755715027,881.3119368
77.11388118,9.11199707,884.219477
77.15576172,5.195694503,893.0899885
79.76857589,9.997340485,912.5252796
73.33488611,6.782083898,916.8023557
72.53835828,14.53178455,919.8341882
81.03352371,6.233014612,935.3744374
73.14524054,12.5332962,943.450243
74.78443417,14.55167201,947.6707822
66.48644655,6.802267342,952.513672
65.28901683,10.94444213,963.2277286
83.91661041,10.15392865,965.3464806
69.41050118,10.62710436,966.6868251
83.53227253,5.738885749,969.0891612
68.39026992,14.84421366,980.4613797
69.50698382,5.798140531,985.9034812
73.2142713,5.405156502,989.2665641
73.74870905,12.87427542,993.5274747
69.12119875,11.30795267,1003.899496
69.67024609,17.1387672,1007.965092
73.11715038,7.505244293,1008.569359
81.36273279,9.548547975,1009.453887
73.72607352,6.315291878,1016.722298
80.50483797,6.566124642,1017.91697
72.28667818,8.472069818,1023.356075
71.66735173,12.22418712,1026.539366
62.62009763,8.308366618,1034.143735
62.96131881,14.13290364,1037.816277
70.83868625,7.69260951,1044.133698
71.40269357,15.27310204,1045.331675
68.54290119,4.790968259,1048.924459
69.77739204,12.35470837,1052.765244
70.31465224,10.6362412,1056.12493
63.98316949,12.25967744,1058.21719
63.18643686,9.397666022,1060.967275
76.05754552,13.69809392,1077.866746
78.85352093,8.356794124,1079.044544
60.54043954,4.727636182,1082.925629
75.24787377,9.29423043,1109.941983
68.905856,12.11363098,1118.554821
73.90983949,15.93018631,1121.266018
72.55731226,11.81334448,1128.385295
69.52218514,9.639285867,1128.824964
65.93481566,7.571667668,1132.984323
60.24277808,7.301514418,1135.983925
64.53057674,12.15879327,1137.353869
72.06258446,11.65910297,1140.44991
70.07761107,11.28337058,1142.069645
65.77503958,6.084484632,1142.727983
70.38642521,14.6160383,1144.835499
71.32974692,6.416222367,1149.176843
67.0517994,6.074314739,1153.311721
71.80736173,3.600541589,1155.340566
68.36216074,11.28846818,1159.26581
70.64399132,9.573981593,1161.303904
79.77887637,16.56295773,1174.124136
71.72569805,6.47133835,1181.990683
72.62284168,11.11171912,1186.328397
68.87206006,10.45062214,1189.493029
75.49544024,12.95145464,1197.074796
66.45129374,5.542020237,1200.815987
73.87678747,8.977431556,1202.66058
66.14495017,8.234153545,1212.682568
72.30851231,12.43370339,1221.291901
64.25968414,7.449363237,1224.107435
74.47093182,10.30418359,1225.463967
63.91680776,7.474558893,1234.295008
74.2305415,15.0449559,1237.403483
73.53807535,7.226248786,1240.464237
74.41858746,9.83701603,1244.208561
74.59137045,10.57105145,1246.757539
62.76483162,11.79126231,1280.652802
66.03055548,8.539910338,1282.532933
67.16659489,10.95092898,1290.477051
64.35775097,9.076603884,1291.816618
64.06656985,4.307439371,1315.693482
68.82420586,2.359394613,1327.77857
74.07213805,10.04372639,1345.545868
66.2514125,10.53252212,1354.191177
74.96858727,9.088243467,1369.425803
86.19775566,16.67253902,1373.169198
78.71757031,8.169945252,1383.171676
73.95729082,12.49265348,1384.392023
56.66704286,4.83880034,1390.424062
65.66775403,9.957945943,1406.33342
65.00438572,7.357282494,1439.354993
68.39135911,14.35749428,1448.996193
74.72073701,11.09652269,1465.763791
75.41634189,10.72071573,1476.747138
69.33937407,5.277683394,1480.288388
63.2637026,8.339228597,1500.296746
73.29053556,14.26074185,1514.182713
72.43795368,13.58787825,1517.038028
72.32489246,12.82029493,1525.046784
70.99900614,12.31153374,1534.704323
81.2791478,16.31911408,1552.938322
78.5578434,16.12691281,1584.547516
78.86237098,11.83552575,1633.848937
77.31122098,13.46819621,1654.424056
84.41241251,11.78813775,1683.226701
